sample_id	query_seq_id	subject_seq_id	score	query_cov	seq_ident	query_len	subject_len	aln_len	ref_coverage_%
Zagreb001-IncHI2	contig_6	MK070339.1	1620	1	100.0	276609	1620	1620	100.0
Zagreb003-IncHI2	contig_2	MK070339.1	1620	1	100.0	276608	1620	1620	100.0
Zagreb004-IncHI2	contig_13	MK070339.1	1620	1	100.0	276612	1620	1620	100.0
Zagreb005-IncHI2	contig_2	MK070339.1	1620	1	100.0	284824	1620	1620	100.0
Zagreb037-IncHI2	contig_8	MK070339.1	1617	1	99.938	277923	1620	1621	100.06
